year,Iron & steel,Aluminium,Other metals,Cement,Glass,Other minerals,Wood products,Plastic and rubber
1995,1.38,0.28,0.27,1.03,0.16,0.60,0.70,0.71
1996,1.31,0.28,0.25,1.08,0.16,0.58,0.69,0.74
1997,1.35,0.24,0.24,1.24,0.17,0.47,0.64,0.73
1998,1.33,0.25,0.25,1.22,0.16,0.51,0.65,0.73
1999,1.30,0.31,0.25,1.26,0.17,0.48,0.67,0.75
2000,1.45,0.33,0.27,1.28,0.20,0.50,0.76,0.85
2001,1.50,0.34,0.25,1.36,0.19,0.51,0.78,0.88
2002,1.47,0.35,0.26,1.42,0.19,0.53,0.78,0.85
2003,1.69,0.39,0.27,1.56,0.21,0.59,0.77,0.91
2004,1.93,0.41,0.30,1.72,0.24,0.69,0.80,1.03
2005,2.07,0.40,0.32,1.88,0.26,0.74,0.82,1.13
2006,2.33,0.43,0.36,2.02,0.28,0.80,0.86,1.25
2007,2.60,0.50,0.39,2.21,0.31,0.85,0.89,1.37
2008,2.78,0.50,0.45,2.17,0.34,0.84,0.92,1.42
2009,2.80,0.47,0.39,2.25,0.35,0.87,0.85,1.29
2010,3.02,0.55,0.47,2.47,0.39,0.97,0.94,1.34
2011,3.30,0.58,0.49,2.61,0.42,1.03,0.97,1.41
2012,3.51,0.60,0.48,2.76,0.44,1.07,0.94,1.48
2013,3.56,0.62,0.48,2.79,0.44,1.07,0.93,1.47
2014,3.70,0.62,0.48,2.86,0.43,1.06,0.88,1.44
2015,3.67,0.62,0.48,2.87,0.43,1.07,0.87,1.45
2016,3.58,0.54,0.37,2.79,0.38,1.00,0.80,1.84
